INDEX,RFR,SVR,MLP,GRU,LSTM
98,13.9526586,13.93328251,7.97218079,7.36495728,7.52582306
99,12.20737153,16.08745169,11.67618179,13.68450165,16.94200134
100,7.037350895,14.84658378,17.59200287,2.83669662,9.70231247
101,5.711098866,14.51032992,17.56596222,2.04082642,4.43856659
102,6.178127953,15.6625683,4.16737213,9.18819275,0.7516655
103,13.3368431,15.66874329,6.35031891,7.04953003,0.88044739
104,7.861240545,14.2914134,15.35038376,3.52536011,5.48143768
105,19.83601029,21.4009443,27.72915268,17.23477173,13.93651962
106,16.31629536,16.1462746,24.83781052,23.86566162,20.76191711
107,5.465982085,13.08686926,9.39320724,8.3762738,9.29444855
108,7.904770663,13.75209106,12.43144226,4.77440453,2.62822723
109,8.780591926,9.452740973,11.55787659,5.01144028,6.63921928
110,5.168280395,6.27205525,16.5865239,2.38022339,1.69604767
111,5.437118319,2.640181955,6.33985443,1.933255,0.28109283
112,9.508641431,2.599471587,7.29236908,6.40749664,6.69624634
113,3.292013882,0.274816309,6.06191101,1.50595703,3.11577072
114,1.319575656,3.1333017,2.98127792,2.48172333,4.19456146
115,1.203205607,1.990820202,3.14913406,3.59679642,6.52807083
116,1.160275524,2.328104973,4.56747787,5.75976532,0.47971313
117,0.75547159,1.577622462,0.56785934,2.83214218,10.59011429
118,3.01913803,0.159518096,11.84614563,2.46785355,4.18318939
119,1.523313514,0.271131264,5.94926071,4.85641098,1.14678192
120,1.395110067,1.549784112,8.54365501,1.16142883,2.78757629
121,0.325377596,0.182563285,4.65387314,1.2798999,2.00694626
122,18.44907235,19.70488577,14.24407654,26.14332466,16.86850052
123,5.648264981,1.951738666,12.26598892,13.99560699,5.76845703
124,17.49601261,13.06195915,15.49777603,1.95840454,7.80808258
125,30.50382679,27.55842051,26.19141769,18.76831436,23.48649979
126,23.3527264,21.73416744,22.5164299,18.17495728,13.56543732
127,17.53962016,22.03627631,12.97584915,8.53377533,1.1233139
128,14.77330788,22.86528056,17.01820755,12.29737091,22.5530014
129,6.83188155,14.10032478,17.94863129,13.14391708,1.24738312
130,16.91379904,17.34743367,14.09267044,23.19611359,20.36554718
131,24.00086954,26.93023392,31.07022476,19.52199936,22.20186996
132,20.97432361,24.45770203,36.19495773,16.87454605,14.72871399
133,14.27362092,13.46559164,7.3827858,20.3352356,15.94270325
134,11.28200366,12.49390788,13.84367752,17.27684021,10.03720856
135,10.74746866,9.342686502,14.7889328,13.27974701,14.66367722
136,30.87504948,30.95238777,39.27127457,39.60966492,38.6584549
137,32.98196269,35.65163511,34.37614441,33.16419601,35.51161957
138,5.22055661,11.24321513,4.4566951,26.56564667,13.01176788
139,22.56354932,25.81872861,28.307621,25.6850853,22.88501358
140,25.2653315,20.65951641,28.77473831,26.17152023,32.03655243
141,22.46004504,17.36962686,29.36865234,8.98266411,33.27039719
142,5.634015781,0.552670791,9.7501329,5.38257278,3.62466492
143,10.62069973,8.256661684,11.47091995,6.48870407,14.37672745
144,7.762508367,4.39013404,7.41813019,22.0113118,0.5808976
145,3.17107649,5.751353884,7.52237747,13.29268692,13.60024307
146,8.509225203,10.42701076,14.52195862,2.39396408,13.91077927
147,7.708137572,7.796403378,7.36859131,13.76836395,11.63431931
148,9.54396048,10.38153002,12.64462173,17.24353683,9.37704742
149,0.796691979,3.099322267,14.71009705,3.68358543,0.05023506
150,0.790124965,4.407818739,4.2356395,3.56291016,0.06156738
151,18.5359283,23.67402666,13.69520569,20.96171951,21.39807892
152,20.00058945,26.19951886,22.0803833,15.17114639,15.48950958
153,12.62037019,21.07749774,28.58089828,20.58768082,27.0125885
154,30.97844442,23.19407713,28.33028412,20.55706406,25.43717575
155,9.302638829,3.387950536,13.7147583,1.60882416,6.58479156
156,3.757930665,3.70796316,12.09223404,1.05851898,2.00622025
157,16.66092174,18.13369762,21.98308563,19.55426025,13.63732147
158,22.13807136,23.7038392,23.03349304,8.13570786,6.37516022
159,16.60668993,19.29320982,18.40492249,6.96669006,10.28219223
160,13.23130675,17.66440468,21.64819717,5.97649384,10.56967926
161,15.92237818,19.16064389,10.81613922,12.68198776,12.97083664
162,4.685649346,13.14561708,8.71036911,9.39385605,9.8405571
163,5.239610841,12.42791731,1.1900444,2.41383362,1.48358536
164,2.120705423,10.21450532,10.3382988,7.19741821,5.00741577
165,7.733148307,12.27359628,8.99098587,14.32279587,5.62546158
166,6.668916663,6.394032262,10.36348343,0.42060471,5.17776489
167,5.484177955,9.886769434,16.44495392,8.62613678,3.77720642
168,3.349376047,1.657615669,10.40009689,7.06995392,4.64401627
